series,season,title,subtitle,title_pic,inbound_ill,release,maincharacters,eventtimeframe,locations,release_year,author_pos,author,gender
Band 411,Die Cappins,Brennpunkt Mimas,"Der Zeitagent geht in die Vergangenheit – er soll eine Gefahr beseitigen, bevor sie entsteht …",Johnny Bruck,Johnny Bruck (2 x),"Freitag, 4. Juli 1969","Joak Cascal, Gerinos de Lapal, Hepong Cylopher, Concyles Ergossonen, Perry Rhodan, Roms Kasinet, Taschin Gaszet, Reinko Hammers, Naro Baysenet","Juli - August 3432, November 2908 bis März 2909","Kopernikus, Mimas",1969.0,a1,Hans Kneifel,male
Band 412,Die Cappins,Gefahr von Sol,Eine tödliche Bedrohung greift nach der Menschheit – nur der Fremde erkennt das Unheil,Johnny Bruck,Johnny Bruck (1 x),"Freitag, 11. Juli 1969","Oberst Tepper Sockmann, Accutron Mspoern, Lobbyhuvos, Perry Rhodan, Lord Zwiebus, Captain Naien D. Chasara, Dr. Meng-tse",September bis Oktober 3432,"Squirepankin, Solsystem",1969.0,a1,H. G. Ewers,male
Band 413,Die Cappins,Die Sonnenforscher,Sie suchen den Todessatelliten – ihr Weg führt ins Innere der Sonne,Johnny Bruck,Johnny Bruck (3 x),"Freitag, 18. Juli 1969","Perry Rhodan, Atlan, Lord Zwiebus, Accutron Mspoern, Geoffry Abel Waringer, Anson Argyris, Oberstleutnant Gertsa Hamesener",November 3432,Solsystem,1969.0,a1,H. G. Ewers,male
Band 414,Die Cappins,Der Weltraum-Zirkus,Die galaktischen Nomaden kommen nach Olymp – und mit ihnen die Agenten des Supermutanten,Johnny Bruck,Johnny Bruck,"Freitag, 25. Juli 1969","Mathilda Grobwitz, Burlow Gideon, Hal Garnish, Big Vip Poster, Galbraith Deighton, Lord Zwiebus, Prottor, Juvhien, Sillock",November 3432,Olymp,1969.0,a1,William Voltz,male
Band 415,Die Cappins,Freunde aus einem fremden Universum,"Sie riskieren alles – denn der Kosmos, den sie durchfliegen, ist absolut tödlich für sie ...",Johnny Bruck,Johnny Bruck,"Freitag, 1. August 1969","Perry Rhodan, Accutron Mspoern, Oberstleutnant Reigon Teipler, Fabel Gonder, Tschui Tang, Captain Akim Brodsal, Mitare Shban",18. - 27. Dezember 3432,Terra,1969.0,a1,Clark Darlton,male
Band 416,Die Cappins,Der Supermutant,Er sieht aus wie ein häßlicher Zwerg – doch er besitzt die Kräfte eines Giganten …,Johnny Bruck,Johnny Bruck (5 x),"Freitag, 8. August 1969","Ribald Corello, Balto Linsner-Kiess, Harkh Tonos, Major Perricone Heublein, Arne Mitzum, Atlan, Perry Rhodan",Januar 3433,Drofronta,1969.0,a1,H. G. Ewers,male
Band 417,Die Cappins,Attentat auf die Intersolar,Die lebende Bombe soll das Solsystem vernichten – so will es der Supermutant,Johnny Bruck,Johnny Bruck (3 x),"Freitag, 15. August 1969","Perry Rhodan, Ribald Corello, Major Perricone Heublein, Alaska Saedelaere, Atlan, Gucky, Ras Tschubai, Fellmer Lloyd, Phelps Cherbuliez",Januar 3433,Goring-Maat-System,1969.0,a1,William Voltz,male
Band 418,Die Cappins,Kurier der Galaxis,"Er ist Vertreter der Menschheit – nur wenige Tage bleiben ihm, um den galaktischen Krieg zu verhindern",Johnny Bruck,Johnny Bruck (2 x),"Freitag, 22. August 1969","Perry Rhodan, Joaquin Manuel Cascal, Dyroff Hypern, Caresca Asayah, Ras Tschubai, Masara Skatchis, Ratham Pyrones",Februar 3433,"Nosmo, Olymp, Solsystem, Rudyn",1969.0,a1,Hans Kneifel,male
Band 419,Die Cappins,Konferenz der Verräter,1400 Planeten entsenden ihre Vertreter – ein neues Imperium soll gegründet werden,Johnny Bruck,Johnny Bruck,"Freitag, 29. August 1969","Perry Rhodan, Esybon Herrihet, Atlan, Julian Tifflor, Tipa Riordan, „Es“, Alaska Saedelaere, Ras Tschubai, Gucky",März 3433,Precheur,1969.0,a1,William Voltz,male
Band 42,Die Dritte Macht,Raumschiff TITAN funkt SOS,"Honur ist das Grab der Raumschiffe – wer auf dem Planeten landet, ist verloren!",Johnny Bruck,Johnny Bruck (3 x),"Freitag, 22. Juni 1962","Perry Rhodan, Reginald Bull, Thora, Crest, Gucky, Wuriu Sengu, Oberst Freyt, Julian Tifflor",1984,Honur,1962.0,a1,Kurt Brand,male
Band 420,Die Cappins,Die Rätsel der Vergangenheit,Ein alter Freund der Terraner – er war tausend Jahre verschollen – meldet sich und bittet um Hilfe,Johnny Bruck,Johnny Bruck (3 x),"Freitag, 5. September 1969","Perry Rhodan, Atlan, Gucky, Harno, Julian Tifflor, Accutron Mspoern, Mitare Shban, Cliff Nordberg",März bis April 3433,"Verth-System, Leydens Stern",1969.0,a1,Clark Darlton,male
Band 421,Die Cappins,Report eines Neandertalers,Seine Erinnerung an die Fremden erwacht – und an die Schrecken der Vergangenheit,Johnny Bruck,Johnny Bruck (2 x),"Freitag, 12. September 1969","Perry Rhodan, Atlan, Alaska Saedelaere, Lord Zwiebus, Tan Dehuter, Kiner Thwaites, Galbraith Deighton",Mai 3433,"Merkur, Tahun",1969.0,a1,H. G. Ewers,male
Band 422,Die Cappins,Die Zeitpendler,Sie entfliehen dem Zeitsturm – und landen in der Sonnenhölle,Johnny Bruck,Johnny Bruck (2 x),"Freitag, 19. September 1969","Ratschat, Lecufe, Perry Rhodan, Atlan, Alaska Saedelaere, Lord Zwiebus, Geoffry Abel Waringer, Galbraith Deighton",Mai bis Juni 3433,Solsystem,1969.0,a1,Hans Kneifel,male
Band 423,Die Cappins,Sonderkommando Atlan,"Sie wissen nicht, was sie tun! – Terraner werden zu Marionetten der Cappins",Johnny Bruck,Johnny Bruck (3 x),"Freitag, 26. September 1969","Perry Rhodan, Atlan, Alaska Saedelaere, Fellmer Lloyd, Ras Tschubai, Gucky, Lord Zwiebus, Leutnant Habas Beruda, Galbraith Deighton, Raymond Brandner",Juni bis Juli 3433,Solsystem,1969.0,a1,Clark Darlton,male
Band 424,Die Cappins,Im Zeitstrom verschollen,Die Expedition der 23 startet – die ferne Vergangenheit ist ihr Ziel,Johnny Bruck,Johnny Bruck (3 x),"Freitag, 3. Oktober 1969","Perry Rhodan, Dr. Geoffry Abel Waringer, Reginald Bull, Myko, Lord Zwiebus, Gucky, Claudia Chabrol, Tajiri Kase, Icho Tolot, Multer Prest, Alaska Saedelaere",Zeitreise ins Jahr 49.988 v. Chr.,Solsystem,1969.0,a1,William Voltz,male
Band 425,Die Cappins,Die Attacke der Zentauren,Mit dem Nullzeitdeformator in Lemuria – bei den Präbios und den Vorvätern der Menschheit,Johnny Bruck,Johnny Bruck (3 x),"Freitag, 10. Oktober 1969","Perry Rhodan, Atlan, Joaquin Manuel Cascal, Dr. Claudia Chabrol, Dr. Tajiri Kase, Ras Tschubai, Lavas Rasony",Zeitreise ins Jahr 51.988 v. Chr.,Solsystem,1969.0,a1,Hans Kneifel,male
Band 426,Die Cappins,Das Ding auf dem Mond,Der Zeitläufer blockiert ihren Weg – und sie stranden in der Vergangenheit,Johnny Bruck,Johnny Bruck (5 x),"Freitag, 17. Oktober 1969","Perry Rhodan, Atlan, Tajiri Kase, Joaquin „Joak“ Cascal, Lord Zwiebus, Dr. Claudia Chabrol, Lavas Rasony, Asthron Dopoulis",Zeitreise ins Jahr 51.988 v. Chr.,Solsystem,1969.0,a1,H. G. Ewers,male
Band 427,Die Cappins,Am See der Götter,Auf dem Weg in das geheimnisvolle Land Thoronis – und zur heiligen Insel,Johnny Bruck,Johnny Bruck (2 x),"Freitag, 24. Oktober 1969","Reginald Bull, Galbraith Deighton, Perry Rhodan, Atlan, Ras Tschubai, Gucky, Asthron Dopoulis, Lavas Rasony, Katalo Osonoton",Zeitreise ins Jahr 51.988 v. Chr.,Solsystem,1969.0,a1,Clark Darlton,male
Band 428,Die Cappins,Die Stunde der Thunderbolts,Paladin III im Einsatz – der Marsch durch den Höllensee,Johnny Bruck,Johnny Bruck (3 x),"Freitag, 31. Oktober 1969","Perry Rhodan, Gucky, Ras Tschubai, Harl Dephin, Icho Tolot, Dr. Bang Paczek, Lavas Rasony, Katalo Osonoton",Zeitreise ins Jahr 51.988 v. Chr.,Solsystem,1969.0,a1,William Voltz,male
Band 429,Die Cappins,Das Land der blauen Türme,Sie wollen zurück in die Zukunft – doch die Strahlung des Wahnsinns hält Sie auf,Johnny Bruck,Johnny Bruck (3 x),"Freitag, 7. November 1969","Perry Rhodan, Alaska Saedelaere, Lord Zwiebus, Gucky, Ras Tschubai, Dr. Claudia Chabrol, Icho Tolot, Major Joak Cascal",Zeitreise ins Jahr 51.988 v. Chr.,Solsystem,1969.0,a1,Hans Kneifel,male
Band 43,Die Dritte Macht,Rauschgifthändler der Galaxis,Stoßtruppunternehmen „Landpartie“ – nur drei Mann entgehen der Nonus-Pest!,Johnny Bruck,Johnny Bruck (4 x),"Freitag, 29. Juni 1962","Perry Rhodan, Julian Tifflor, genannt Tiff, Dr. Hayward, Major Chaney, O'Keefe, Halligan, Nathan",1984,Honur,1962.0,a1,Kurt Mahr,male
Band 430,Die Cappins,Das Ultimatum der Cappins,Sie wollen frei sein oder untergehen – das Schicksal des Solsystems liegt in ihrer Hand,Johnny Bruck,Johnny Bruck (1 x),"Freitag, 14. November 1969","Perry Rhodan, Reginald Bull, Julian Tifflor, Galbraith Deighton, Lecufe, Marays, Carscin, Ralgor Berskin, Gucky, Ras Tschubai",Oktober 3433,Solsystem,1969.0,a1,Clark Darlton,male
Band 431,Die Cappins,Energie aus dem Jenseits,Ein Planet pulsiert – Professor Waringer macht gefährliche Experimente,Johnny Bruck,Johnny Bruck (3 x),"Freitag, 21. November 1969","Perry Rhodan, Anson Argyris, Geoffry Abel Waringer, Ribald Corello, Elas Korom-Khan, Harl Dephin, Cecil Ryebread",November 3433,"Olymp, Last Hope",1969.0,a1,H. G. Ewers,male
Band 432,Die Cappins,Die Welt der Mutanten,"Die Jagd auf Ribald Corello, den Menschheitsfeind Nummer Eins – die Piratenlady gibt einen Tip",Johnny Bruck,Johnny Bruck (3 x),"Freitag, 28. November 1969","Perry Rhodan, Rankos Ohm, Tipa Riordan, Ribald Corello, Atlan, Ras Tschubai, Gucky, Alaska Saedelaere, Icho Tolot, Lord Zwiebus",Dezember 3433,Gevonia,1969.0,a1,William Voltz,male
Band 433,Die Cappins,Die Stadt der tausend Fallen,Das Tapurium ist sein Reich – jeder Eindringling spielt mit dem Tode,Johnny Bruck,Johnny Bruck (3 x),"Freitag, 5. Dezember 1969","Perry Rhodan, Ribald Corello, Atlan, Alaska Saedelaere, Icho Tolot, Ras Tschubai, Gucky, Kytoma, Gevoreny Tatstun",Dezember 3433 - Januar 3434,Gevonia,1969.0,a1,William Voltz,male
Band 434,Die Cappins,Das Erbe des Ertrusers,Wissenschaftler im Kampf gegen die Gehirnblockade – ein Ungeheuer soll leben,Johnny Bruck,Johnny Bruck (1 x),"Freitag, 12. Dezember 1969","Perry Rhodan, Ribald Corello, Fellmer Lloyd, Gucky, Kiner Thwaites, Atlan, Toronar Kasom, Major Patulli Lokoshan",Januar 3434,Mimas,1969.0,a1,H. G. Ewers,male
Band 435,Die Cappins,Das Drei-Planeten-Spiel,Operation Zickzack läuft an – denn die Flotte der Späher lauert im All,Johnny Bruck,Johnny Bruck,"Freitag, 19. Dezember 1969","Perry Rhodan, Joaquin „Joak“ Manuel Cascal, Dyroff Hypern, Caresca Asayah, Anson Argyris, Ribald Corello, Dave Opyd",Januar 3434 - Februar 3434,"Olymp, Last Hope",1969.0,a1,Hans Kneifel,male
Band 436,Die Cappins,Testflug nach Atlantis,Mit dem Nullzeitdeformator zum Berg der Götter – und zum Kampf der Titanen,Johnny Bruck,Johnny Bruck (2 x),"Freitag, 26. Dezember 1969","Perry Rhodan, Major Orsolon, Atlan, Alaska Saedelaere, Joak Cascal, Professor Geoffry Abel Waringer, Dr. Kenosa Bashra, Gucky, Moru",Zeitreise ins Jahr 29.566 v. Chr.,Terra,1969.0,a1,Clark Darlton,male
Band 437,Die Cappins,Schirmherr der Zeit,Er beherrscht die Straße zwischen Zukunft und Vergangenheit – er ist ein Zweidenker,Johnny Bruck,Johnny Bruck (2 x),"Freitag, 2. Januar 1970","Perry Rhodan, Ras Tschubai, Alaska Saedelaere, Icho Tolot, Atlan, Ovaron, Takvorian, Levtron, Merceile",Zeitreise ins Jahr 200.000 v. Chr.,Terra,1970.0,a1,H. G. Ewers,male
Band 438,Die Cappins,Im Jahr der Cappins,Dreitausend Jahre vor und zurück – und ein Teleportersprung ins Ungewisse,Johnny Bruck,Johnny Bruck (3 x),"Freitag, 9. Januar 1970","Ovaron, Takvorian, Perry Rhodan, Ras Tschubai, Alaska Saedelaere, Icho Tolot, Atlan, Gucky, Lord Zwiebus, Fellmer Lloyd, Paladin, Lasallo",Zeitreise ins Jahr 200.000 v. Chr.,Terra,1970.0,a1,William Voltz,male
Band 439,Die Cappins,Schaltzentrale OVARON,Der Rettungstrupp ist unterwegs – zum Rendezvous im Jahr 200 000,Johnny Bruck,Johnny Bruck,"Freitag, 16. Januar 1970","Perry Rhodan, Ras Tschubai, Icho Tolot, Alaska Saedelaere, Takvorian, Gucky, Fellmer Lloyd, Lord Zwiebus, Paladin, Ovaron, Tarakan",Zeitreise ins Jahr 200.000 v. Chr.,Terra,1970.0,a1,Clark Darlton,male
Band 44,Die Dritte Macht,Der Mensch und das Monster,Die Retortenwesen greifen an – und das Rätsel der Mooffs findet seine Lösung …,Johnny Bruck,Johnny Bruck (3 x),"Freitag, 6. Juli 1962","Perry Rhodan, Gucky, Admiral Vetron, Major Chaney, Dr. Orson Certch, Trorth, Captain Marcus Everson",1984,Mooff VI,1962.0,a1,K. H. Scheer,male
Band 440,Die Cappins,Der Ring des Verderbens,Lordadmiral Atlan als Bombenleger – und Oberst Cascal als Zeitspringer,Johnny Bruck,Johnny Bruck (3 x),"Freitag, 23. Januar 1970","Perry Rhodan, Ovaron, Merceile, Takvorian, Atlan, Dr. Kenosa Bashra, Joaquin Manuel Cascal, Jak",Zeitreise ins Jahr 200.000 v. Chr.,Terra,1970.0,a1,Hans Kneifel,male
Band 441,Die Cappins,Zwischen Mars und Jupiter,Sie reisen in der Zeit – und erreichen den verlorenen Planeten,Johnny Bruck,Johnny Bruck (4 x),"Freitag, 30. Januar 1970","Perry Rhodan, Ovaron, Merceile, Takvorian, Atlan, Gucky, Joaquin „Joak“ Manuel Cascal",Mai 3434 und Zeitreise ins Jahr 196.517 v. Chr.,"Terra, Zeut",1970.0,a1,H. G. Ewers,male
Band 442,Die Cappins,Die Bestien von Zeut,Der fünfte Planet erwacht – und die Zeit der Ungeheuer bricht an,Johnny Bruck,Johnny Bruck (2 x),"Freitag, 6. Februar 1970","Perry Rhodan, Ovaron, Merceile, Gucky, Ras Tschubai, Joaquin „Joak“ Manuel Cascal, Dr. Multer Prest, Trumakor Avak, Warkamon",Mai 3434 und Zeitreise ins Jahr 196.517 v. Chr.,Zeut,1970.0,a1,William Voltz,male
Band 443,Die Cappins,Überfall auf Exilot,Das Zeitteam auf dem vierten Kontinent – und die Armee der Tiere als Fluchthelfer,Johnny Bruck,Johnny Bruck (4 x),"Freitag, 13. Februar 1970","Perry Rhodan, Atlan, Ras Tschubai, Fellmer Lloyd, Ovaron, Gucky, Merkato",Zeitreise ins Jahr 196.517 v. Chr.,"Terra, Zeut",1970.0,a1,Clark Darlton,male
Band 444,Die Cappins,Welten in Angst,Alarm für das Solsystem – die Zeitbombe soll gezündet werden,Johnny Bruck,Johnny Bruck (5 x),"Freitag, 20. Februar 1970","Perry Rhodan, Ovaron, Merceile, Joaquin „Joak“ Cascal, Galbraith Deighton, Dr. Claudia Chabrol, Bogonta",Juni 3434,"Terra, Solsystem",1970.0,a1,Hans Kneifel,male
Band 445,Die Cappins,Das Kommandogehirn,Die Zeitreisenden kommen zu früh – eine Positronik will sie vernichten,Johnny Bruck,Johnny Bruck (2 x),"Freitag, 27. Februar 1970","Perry Rhodan, Ovaron, Oberst Toronar Kasom, Merceile, Takvorian, Professor Tajiri Kase, Sir Anthony, Gucky",Zeitreise ins Jahr 196.585 v. Chr.,"Terra, Mimas, Titan",1970.0,a1,H. G. Ewers,male
Band 446,Die Cappins,Die Zeitbrüder,Ein Mann begegnet sich selbst – und löst das Geheimnis seiner Herkunft,Johnny Bruck,Johnny Bruck (2 x),"Freitag, 6. März 1970","Ovaron I, Ovaron II, Perry Rhodan, Atlan, Professor Tajiri Kase, Sir Anthony, Moshaken, Gavasor",Zeitreise ins Jahr 196.585 v. Chr.,Titan,1970.0,a1,H. G. Ewers,male
Band 447,Die Cappins,Der Terraner und der Gläserne,Sie kommen aus Zeit und Raum – und werden zu Gefangenen der Positronik,Johnny Bruck,Johnny Bruck (2 x),"Freitag, 13. März 1970","Robinson der Zweite, Merkosh, Poseidon, Perry Rhodan, Merceile, Ovaron, Gucky",Zeitreise ins Jahr 196.585 v. Chr.,Titan,1970.0,a1,William Voltz,male
Band 448,Die Cappins,Der alte Admiral,Der Sonnensatellit soll überlistet werden – zwei Cappins riskieren ihr Leben,Johnny Bruck,Johnny Bruck (4 x),"Freitag, 20. März 1970","Perry Rhodan, Roi Danton, Armstrong, Lorac, Ransome, Ovaron, Merceile, Moshaken, Joaquin Manuel Cascal",Juli 3434,"Terra, Titan, Solsystem",1970.0,a1,Hans Kneifel,male
Band 449,Die Cappins,Das Ende des Diktators,Rücksturz in die Gegenwart – das Solsystem taucht wieder auf,Johnny Bruck,Johnny Bruck,"Freitag, 27. März 1970","Perry Rhodan, Ovaron, Ramil, Omarin Ligzuta, Imperator Dabrifa, Hoga Merontus, Gucky",Juli 3434,"Dabrifala, Terra, Solsystem",1970.0,a1,Clark Darlton,male
Band 45,Die Dritte Macht,Seuchenherd Aralon,Schlachtflotten sind einsatzbereit – doch die galaktischen Mediziner kämpfen nicht mit herkömmlichen Mitteln …,Johnny Bruck,Johnny Bruck (5 x),"Freitag, 13. Juli 1962","Perry Rhodan, Julian Tifflor, Wuriu Sengu, Thora, Gucky, Themos, Talamon",1984,Aralon,1962.0,a1,Clark Darlton,male
Band 450,Die Cappins,Aufbruch der MARCO POLO,"Ein Raumschiff geht auf die lange Reise nach NGC 4594, der Heimatgalaxis der Cappin-Völker",Johnny Bruck,Johnny Bruck,"Freitag, 3. April 1970","Perry Rhodan, Ovaron, Atlan, Oberst Elas Korom-Khan, Senco Ahrat, Mentro Kosum, Oberstleutnant Menesh Kuruzin, Scholschowo",Juli 3437,"Terra, Gruelfin",1970.0,a1,K. H. Scheer,male
Band 451,Die Cappins,Die falschen Götter,Mit der MARCO POLO am Rand des Sombrero-Nebels – ein Sterbender nennt das neue Ziel,Johnny Bruck,Johnny Bruck,"Freitag, 10. April 1970","Perry Rhodan, Ovaron, Scholschowo, Major Patulli Lokoshan, Professor Heyne Kaspon, Oberstleutnant Menesh Kuruzin, Icho Tolot",Juli 3437,"Gruelfin, Planet Geysselin",1970.0,a1,H. G. Ewers,male
Band 452,Die Cappins,Planet der Pazifisten,Sie landen auf der Welt des Friedens – und müssen um ihr Leben kämpfen,Johnny Bruck,Johnny Bruck (2 x),"Freitag, 17. April 1970","Perry Rhodan, Scholschowo, Mason Grammick, Folly Utter, Ovaron, Der Lofkano, Oberstleutnant Menesh Kuruzin, Atlan",August 3437,"Gruelfin, Planet Lofsoog",1970.0,a1,William Voltz,male
Band 453,Die Cappins,Vorsicht – radioaktiv!,Ein Planet im Atomorkan – Oberst Joak Cascal funkt um Hilfe,Johnny Bruck,Johnny Bruck (4 x),"Freitag, 24. April 1970","Perry Rhodan, Ovaron, Joaquin Manuel Cascal, Oberstleutnant Penka Manishe, Takvorian, Valtenosch",September 3437,"Gruelfin, Planet Vavschenic",1970.0,a1,Hans Kneifel,male
Band 454,Die Cappins,Plünderer der Sterne,Sie leben von Tod und Vernichtung – und machen reiche Beute,Johnny Bruck,Johnny Bruck (4 x),"Freitag, 1. Mai 1970","Atlan, Gucky, Oberstleutnant Pawo Restonow, Karal, Gorom, Marek, Maron, Ronald Scotch, Giacombo, Andreas Annette, Maschekena",September 3437,"Gruelfin, Planet Offsohonar",1970.0,a1,Clark Darlton,male
Band 455,Die Cappins,Auf der Arenawelt,Vorstoß ins Zentrum von NGC 4594 – ein fremdes Raumschiff wird gekapert,Johnny Bruck,Johnny Bruck (2 x),"Freitag, 8. Mai 1970","Atlan, Perry Rhodan, Ovaron, Takvorian, Lord Zwiebus, Folly Utter, Mostor, Torschakan, Jofromet",Oktober 3437,"Gruelfin, Arenawelt Schakamona",1970.0,a1,William Voltz,male
Band 456,Die Cappins,Der Schaukampf,Lord Zwiebus und Takvorian – zwei „Bestien“ als Köder für den Henker von Gruelfin,Johnny Bruck,Johnny Bruck (3 x),"Freitag, 15. Mai 1970","Vavischon, Perry Rhodan, Ovaron, Lord Zwiebus, Takvorian, Torschakan, Jofromet, Ras Tschubai",Oktober 3437,"Gruelfin, Arenawelt Schakamona",1970.0,a1,William Voltz,male
Band 457,Die Cappins,Die Operationsbasis,Ein Cappin geht um – lautlos übernimmt er seine Opfer,Johnny Bruck,Johnny Bruck (3 x),"Freitag, 22. Mai 1970","Vavischon, Perry Rhodan, Ovaron, Alaska Saedelaere, Atlan, Oberst Elas Korom-Khan, Dr. Ingwar Bredel",Oktober 3437,"Gruelfin, im Orbit um eine rote Riesensonne",1970.0,a1,H. G. Ewers,male
Band 458,Die Cappins,Im Arsenal der Androiden,Der Planet TRC hält die Terraner fest – und der Wächter erwacht zum Leben,Johnny Bruck,Johnny Bruck (3 x),"Freitag, 29. Mai 1970","Vavischon, Perry Rhodan, Ovaron, Alaska Saedelaere, Dr. Ingwar Bredel, Roi Danton, Atlan",November 3437,"Gruelfin, Planet TCR",1970.0,a1,H. G. Ewers,male
Band 459,Die Cappins,Der Archivplanet,Hinter stählernen Türen wartet das Wissen – und lauert der Tod,Johnny Bruck,Johnny Bruck (4 x),"Freitag, 5. Juni 1970","Kalabasch, Perry Rhodan, Atlan, Ybsanow, Ovaron, Joaquin Manuel Cascal, Misyen",November 3437,"Gruelfin, Planet Molakesch",1970.0,a1,Hans Kneifel,male
Band 46,Die Dritte Macht,Geschäfte mit Arkon-Stahl,Rettung oder Vernichtung der Erde? – Die Speicherdaten einer Bordpositronik werden zum entscheidenden Faktor …,Johnny Bruck,Johnny Bruck (5 x),"Freitag, 20. Juli 1962","Perry Rhodan, Reginald Bull, Gegul, Keklos, Talamon, Topthor",Oktober 1984,Laros,1962.0,a1,Kurt Brand,male
Band 460,Die Cappins,Zeitpunkt X,Sie entdecken die Schlüssel­information  – und erleben einen Weltuntergang,Johnny Bruck,Johnny Bruck (5 x),"Freitag, 12. Juni 1970","Perry Rhodan, Atlan, Ybsanow, Misyen, Ovaron, Joaquin Manuel Cascal, Menesh Kuruzin",November 3437,"Gruelfin, Planet Molakesch",1970.0,a1,Hans Kneifel,male
Band 461,Die Cappins,Flucht ins Ungewisse,Kein Kontakt mit der MARCO POLO – das Raumschiff der Retter wird gejagt,Johnny Bruck,Johnny Bruck (3 x),"Freitag, 19. Juni 1970","Perry Rhodan, Atlan, Ovaron, Menesh Kuruzin, Gucky, Pagellan, Abschena",Dezember 3437,"Gruelfin, Leerraum, Planet Haygasch",1970.0,a1,Clark Darlton,male
Band 462,Die Cappins,Der Wissende,Er überlistet seine Entführer – und fliegt zur grünen Sonne,Johnny Bruck,Johnny Bruck (3 x),"Freitag, 26. Juni 1970","Perry Rhodan, Schekonu, Abschena, Farenda, Trotter, Grummel, Brummel, Gucky",Dezember 3437,"Gruelfin, Haygasch, Mysyscher",1970.0,a1,Clark Darlton,male
Band 463,Die Cappins,Die Spione von Siga,Das Thunderbolt-Team als Blockadebrecher – zwei „Meteore“ landen auf dem Planeten des Krieges,Johnny Bruck,Johnny Bruck (8 x),"Freitag, 3. Juli 1970","Perry Rhodan, Harl Dephin, Dart Hulos, Mirus Tyn, Amos Rigeler, Cool Aracan, Drof Retekin, Jamenkou, Kormouk, Lonscholmon",Dezember 3437,"Gruelfin, Oldon",1970.0,a1,William Voltz,male
Band 464,Die Cappins,Der falsche Ganjo,Die kleinen Männer von Siga als Fünfte Kolonne – ein Betrüger soll entlarvt werden,Johnny Bruck,Johnny Bruck (4 x),"Freitag, 10. Juli 1970","Harl Dephin, Mirus Tyn, Amos Rigeler, Cool Aracan, Drof Retekin, Dart Hulos, Imanschol, Gratlon, Jamenkou",Januar 3438,"Gruelfin, Planet Oldon",1970.0,a1,William Voltz,male
Band 465,Die Cappins,Ein Steckbrief für die MARCO POLO,Die Expedition der achttausend in Gefahr – ein Versteck wird zur Todesfalle,Johnny Bruck,Johnny Bruck (5 x),"Freitag, 17. Juli 1970","Perry Rhodan, Ovaron, Joaquin Manuel Cascal, Geoffry Abel Waringer, Admiral Maschyleen, Oberst Elas Korom-Khan, Schekret",Januar 3438,"Gruelfin, Planet Leffa",1970.0,a1,Hans Kneifel,male
Band 466,Die Cappins,Die Stadt und das Raumschiff,Sie sind Gegner – das tödliche Geheimnis von Leffa steht zwischen ihnen,Johnny Bruck,Johnny Bruck (4 x),"Freitag, 24. Juli 1970","Perry Rhodan, Schekret, Joaquin Manuel Cascal, Das Echidna, Ras Tschubai, Ovaron, Gucky, Merceile",Januar 3438,"Gruelfin, Planet Leffa",1970.0,a1,Hans Kneifel,male
Band 467,Die Cappins,Der letzte Mann der DOLDA,Balton Wyts phantastische Abenteuer – ein Mensch unter Automaten,Johnny Bruck,Johnny Bruck (3 x),"Freitag, 31. Juli 1970","Balton Wyt, Regus Ferrin, Jenner Fox, Munkunk, Milli, Grandell, Oberst Menry Kabish",März 3117 bis Januar 3438,"Eastside, Planet Techma",1970.0,a1,Clark Darlton,male
Band 468,Die Cappins,Der Telekinet,Er lebt auf der Welt der singenden Blumen – die Stadt ist sein Freund und Beschützer,Johnny Bruck,Johnny Bruck (4 x),"Freitag, 7. August 1970","Julian Tifflor, Balton Wyt, Munkunk, Milli, Captain Brasing Erpus, Herb Stotz, Dr. Canter, Barren Genter, Rog Fantas, Grandell",Januar 3438,"Eastside, Planet Techma",1970.0,a1,Clark Darlton,male
Band 469,Die Cappins,Der Tod fliegt mit,Der Ganjo greift ein – er kämpft für seine terranischen Freunde,Johnny Bruck,Johnny Bruck (5 x),"Freitag, 14. August 1970","Perry Rhodan, Ovaron, Schekret, Eschno, Holanet, Ras Tschubai, Gucky, Professor Bhang Paczek",Februar 3438,"Gruelfin, Planet Leffa",1970.0,a1,H. G. Ewers,male
Band 47,Die Dritte Macht,Gom antwortet nicht,Das Gom ist überall! – Wettlauf mit dem Tod in der Zwielichtzone des Höllenplaneten,Johnny Bruck,Johnny Bruck (5 x),"Freitag, 27. Juli 1962","Reginald Bull, John Marshall, Iwan Iwanowitsch Goratschin, Betty Toufry, Tako Kakuta, Ras Tschubai, Wuriu Sengu, Kitai Ishibashi, Tama Yokida",Ende Oktober 1984,Gom,1962.0,a1,Kurt Mahr,male
Band 470,Die Cappins,Testfall MARCO POLO,Die galaktische Prüfung beginnt – und Perry Rhodan setzt alles auf eine Karte,Johnny Bruck,Johnny Bruck (4 x),"Freitag, 21. August 1970","Perry Rhodan, Ovaron, Gucky, Patulli Lokoshan, Dr. Ingwar Bredel, Elas Korom-Khan, Hartom Manis, Der Alte",Februar 3438,"Gruelfin, im Weltall",1970.0,a1,H. G. Ewers,male
Band 471,Die Cappins,Der letzte Test,Der Taschkar verlässt seine Welt – und der Alte zeigt seine wahre Identität,Johnny Bruck,Johnny Bruck (5 x),"Freitag, 28. August 1970","Der Taschkar, VASA 81103, Perry Rhodan, Ovaron, Atlan, Parschol, Merkosh",Februar 3438,"Gruelfin, Planet Lohkrath (First Love)",1970.0,a1,William Voltz,male
